date	smin	smax	smean	tmean
01/01/2009   	19.200912    	19.99546     	19.46943     	 1.9158177103
02/01/2009   	18.732677    	19.98227     	19.24583     	 1.9134324243
03/01/2009   	17.729584    	19.29033     	18.82032     	 1.6848420079
04/01/2009   	14.717211    	18.94783     	17.28887     	 1.7669947694
05/01/2009   	16.543344    	19.06635     	17.57324     	 1.5436400274
06/01/2009   	17.045465    	21.61297     	20.30874     	 1.0477486402
07/01/2009   	19.417816    	20.62635     	20.17899     	 0.7618259539
08/01/2009   	19.459209    	20.79824     	20.17622     	 0.7793352629
09/01/2009   	19.211748    	21.49229     	20.15387     	 0.5455054604
10/01/2009   	19.587160    	20.80733     	20.17518     	 0.3430145718
11/01/2009   	19.925055    	22.69239     	20.86306     	 0.1575282478
12/01/2009   	17.890383    	24.20314     	21.11069     	 0.3755216846
13/01/2009   	21.271057    	25.07956     	23.02412     	 1.4439037244
14/01/2009   	22.343096    	25.08954     	23.45512     	 1.7810749238
15/01/2009   	22.675308    	23.68533     	22.99199     	 1.6518480281
16/01/2009   	22.850533    	23.77819     	23.16670     	 1.6589277213
17/01/2009   	21.984159    	24.81394     	23.60724     	 2.1157624945
18/01/2009   	20.300364    	24.40048     	22.58231     	 2.5880181988
19/01/2009   	21.090504    	25.06048     	23.72044     	 2.8343548675
20/01/2009   	22.350985    	27.10229     	25.29719     	 3.0122800370
21/01/2009   	25.290264    	26.62143     	26.11721     	 2.8752456605
22/01/2009   	25.366936    	27.51626     	26.29517     	 2.6037571281
23/01/2009   	26.706171    	28.31760     	27.43623     	 2.6655178169
24/01/2009   	23.448771    	27.49071     	25.84189     	 2.9328839580
25/01/2009   	24.622549    	26.83798     	25.83887     	 2.8283792883
26/01/2009   	25.585234    	27.16806     	26.30350     	 2.6342515151
27/01/2009   	26.406763    	27.02357     	26.62829     	 2.3313071479
28/01/2009   	25.048479    	26.58434     	26.07852     	 2.0564088722
29/01/2009   	25.080933    	26.42336     	25.88331     	 1.8268348376
30/01/2009   	24.519943    	26.10816     	25.67687     	 1.5078571985
31/01/2009   	23.759033    	25.63045     	24.78402     	 1.1275472480
01/02/2009   	23.571199    	24.80966     	24.10556     	 0.7245213191
02/02/2009   	23.399820    	24.30828     	23.82809     	 0.4018491885
03/02/2009   	23.427855    	23.55918     	23.51989     	 0.5340243001
04/02/2009   	23.479649    	23.88722     	23.68142     	 0.6811386372
05/02/2009   	23.492607    	24.13999     	23.88502     	 0.8394128506
06/02/2009   	23.320141    	24.14736     	23.74917     	 1.1425452456
07/02/2009   	22.645988    	23.74084     	23.20165     	 1.2787090118
08/02/2009   	20.963854    	23.70193     	22.33339     	 1.2521902795
09/02/2009   	20.645195    	23.45146     	21.69599     	 1.3372925669
10/02/2009   	21.566473    	22.87038     	22.26110     	 1.4532373076
11/02/2009   	20.485155    	22.33124     	21.84796     	 1.5776992614
12/02/2009   	19.228430    	22.04018     	20.90666     	 1.7004982581
13/02/2009   	18.934505    	21.67459     	19.62070     	 1.8070432817
14/02/2009   	18.900757    	20.56731     	19.68455     	 1.7497491067
15/02/2009   	17.186691    	21.80676     	19.64069     	 1.8768642445
16/02/2009   	15.292180    	20.02594     	18.46213     	 2.2235435893
17/02/2009   	16.070438    	21.27353     	18.31435     	 2.5859175076
18/02/2009   	18.353237    	20.84331     	19.65849     	 2.4570979128
19/02/2009   	17.771624    	20.44576     	19.24127     	 2.4355999231
20/02/2009   	15.869051    	17.47795     	16.58741     	 2.7065587491
21/02/2009   	15.206834    	18.35112     	16.45345     	 2.8921520064
22/02/2009   	12.980783    	16.07722     	14.91428     	 3.2047671278
23/02/2009   	13.667965    	16.71018     	14.84584     	 3.5459367136
24/02/2009   	14.214792    	18.22644     	15.36746     	 3.6453765134
25/02/2009   	13.620844    	17.65484     	15.91646     	 3.8890849004
26/02/2009   	 9.650723    	17.37400     	14.25668     	 4.2177609801
27/02/2009   	12.776050    	15.37567     	13.97707     	 4.5308312078
28/02/2009   	14.031844    	16.57175     	14.71208     	 4.7422131101
01/03/2009   	15.772492    	18.06515     	16.73256     	 4.7664370338
02/03/2009   	16.124649    	17.50403     	16.85589     	 4.8677578171
03/03/2009   	15.758858    	19.82724     	17.61073     	 4.9917602440
