date	smin	smax	smean	tmean
01/01/2009  	19.612846   	21.65549    	20.62981    	 1.603977965
02/01/2009  	13.752700   	21.63023    	19.61480    	 1.767189689
03/01/2009  	12.758891   	21.50871    	18.30225    	 1.266506312
04/01/2009  	16.978479   	23.78100    	19.76778    	 2.000140674
05/01/2009  	12.697444   	23.18242    	18.69252    	 1.102670682
06/01/2009  	14.970695   	21.65097    	17.68665    	-0.028749672
07/01/2009  	15.402583   	22.28242    	19.66218    	 0.724190873
08/01/2009  	16.949221   	21.47267    	19.87825    	 0.385300496
09/01/2009  	14.328851   	22.70166    	19.49437    	 0.097637406
10/01/2009  	14.023158   	22.06405    	19.96677    	-0.073579358
11/01/2009  	15.658445   	26.32659    	21.82487    	 0.392636941
12/01/2009  	21.707470   	30.48947    	26.71586    	 1.931122449
13/01/2009  	25.109993   	31.11566    	28.50263    	 2.992978508
14/01/2009  	19.895340   	27.74196    	25.63526    	 2.707147370
15/01/2009  	12.993079   	26.34501    	22.76378    	 2.056252380
16/01/2009  	 9.238019   	26.05682    	18.23904    	 1.796393914
17/01/2009  	10.288167   	27.21932    	20.48972    	 2.212792523
18/01/2009  	15.818306   	29.69656    	24.81998    	 3.087108985
19/01/2009  	20.051157   	30.26645    	26.30885    	 2.949430888
20/01/2009  	29.285185   	30.08050    	29.66530    	 2.884915799
21/01/2009  	26.074837   	30.07461    	28.63706    	 2.480765209
22/01/2009  	18.802223   	29.63991    	26.27278    	 2.287970255
23/01/2009  	17.341841   	29.18254    	26.44776    	 2.673585415
24/01/2009  	25.363424   	28.67784    	27.46885    	 2.980041355
25/01/2009  	16.541489   	28.34346    	25.43551    	 2.677537421
26/01/2009  	13.992875   	27.33527    	21.15101    	 2.333719422
27/01/2009  	15.680565   	24.47396    	21.86599    	 1.913711416
28/01/2009  	13.454626   	25.60763    	22.21736    	 1.548056098
29/01/2009  	12.457629   	23.99889    	20.55647    	 1.476520270
30/01/2009  	11.797996   	24.78983    	19.42240    	 1.116081979
31/01/2009  	 8.196787   	25.03604    	20.21954    	 0.564110552
01/02/2009  	16.179245   	26.03213    	22.89619    	-0.047073312
02/02/2009  	19.427490   	24.73918    	23.13809    	 0.129948808
03/02/2009  	20.849604   	24.04115    	23.17788    	 0.572498398
04/02/2009  	22.064064   	24.72933    	23.58171    	 0.829264056
05/02/2009  	22.660948   	24.73946    	24.02222    	 1.040490817
06/02/2009  	18.628372   	25.34781    	22.92848    	 1.454527693
07/02/2009  	17.252163   	24.37141    	22.44075    	 1.604170178
08/02/2009  	16.664988   	24.27214    	21.92384    	 1.461226838
09/02/2009  	15.277456   	24.59389    	21.14392    	 1.457742567
10/02/2009  	14.948752   	25.09799    	20.11509    	 1.628504954
11/02/2009  	17.820065   	24.56670    	22.33225    	 1.859460446
12/02/2009  	14.824386   	24.85731    	20.88042    	 1.986803152
13/02/2009  	12.724620   	21.95265    	19.22967    	 2.095862436
14/02/2009  	 9.125566   	21.89679    	18.10216    	 1.670099489
15/02/2009  	10.816967   	21.20034    	17.62851    	 1.911396315
16/02/2009  	11.746506   	20.10748    	17.55136    	 2.707727586
17/02/2009  	 9.402581   	19.76656    	15.63922    	 3.268833811
18/02/2009  	 7.265373   	20.09081    	14.76165    	 2.412191182
19/02/2009  	 8.767361   	19.76369    	14.88627    	 2.368164671
20/02/2009  	11.723449   	19.07352    	15.39336    	 3.145926242
21/02/2009  	 7.596020   	20.64911    	16.17728    	 3.380201658
22/02/2009  	11.676500   	21.04700    	16.28831    	 3.732527196
23/02/2009  	12.421060   	20.06353    	17.23469    	 4.100292762
24/02/2009  	 7.965962   	19.42073    	15.30599    	 3.955720305
25/02/2009  	 7.541445   	20.46510    	15.21366    	 4.077031409
26/02/2009  	13.364732   	22.35499    	17.36508    	 4.393985212
27/02/2009  	 9.960161   	19.16986    	15.81757    	 5.005948643
28/02/2009  	 7.756443   	17.83040    	15.03200    	 5.190426697
01/03/2009  	 9.424911   	17.62619    	15.64116    	 4.872163206
02/03/2009  	11.917603   	19.11906    	16.53881    	 4.910908083
03/03/2009  	10.724361   	20.31663    	16.21100    	 4.909093847
04/03/2009  	 4.196822   	23.53896    	12.36564    	 4.697250118
05/03/2009  	13.100370   	24.36255    	20.15087    	 4.704829812
06/03/2009  	15.559754   	24.39956    	21.55223    	 4.658454160
07/03/2009  	14.914718   	23.57202    	19.99085    	 4.410803323
08/03/2009  	13.987773   	25.05187    	21.82013    	 5.043248624
09/03/2009  	21.667236   	26.59272    	24.60164    	 4.780700664
10/03/2009  	19.237392   	25.92201    	22.93479    	 4.871221383
11/03/2009  	14.897167   	20.84369    	18.75673    	 5.009150575
12/03/2009  	11.523355   	22.80620    	17.33530    	 5.440988719
13/03/2009  	11.410970   	20.48071    	17.83610    	 5.605609824
14/03/2009  	 9.648252   	20.98178    	16.63787    	 5.823413273
15/03/2009  	10.825903   	19.74409    	16.05858    	 6.050125837
16/03/2009  	 7.223202   	17.68985    	15.11259    	 6.231534332
17/03/2009  	 7.787769   	18.30084    	14.32822    	 6.472745359
18/03/2009  	 7.095078   	17.10160    	13.20849    	 6.363961736
19/03/2009  	 7.844541   	17.72703    	13.29699    	 6.329752992
20/03/2009  	 6.404274   	18.25250    	12.32073    	 6.053260873
21/03/2009  	 6.745838   	19.27734    	12.68948    	 6.062169443
22/03/2009  	 7.818070   	18.42071    	14.03173    	 6.335722665
23/03/2009  	13.092289   	23.62620    	19.82947    	 6.477015694
24/03/2009  	14.139262   	22.94688    	17.39658    	 6.526663274
25/03/2009  	14.620292   	21.87811    	16.74788    	 6.490971446
26/03/2009  	12.997468   	21.83586    	16.68046    	 6.441082060
27/03/2009  	13.881667   	23.80254    	20.34771    	 6.194792300
28/03/2009  	15.455921   	25.00092    	19.42217    	 6.193852941
29/03/2009  	15.094511   	21.88980    	18.71137    	 6.183302293
30/03/2009  	10.985454   	20.50532    	16.75631    	 6.138326565
31/03/2009  	10.742259   	20.53716    	16.59595    	 6.665322185
01/04/2009  	12.248123   	19.55562    	16.57158    	 7.094733715
02/04/2009  	13.789317   	19.45307    	16.56678    	 7.483239363
03/04/2009  	15.087964   	20.66845    	17.07638    	 7.937512477
04/04/2009  	16.684330   	21.92688    	17.95466    	 8.211290260
05/04/2009  	16.839321   	22.57669    	18.64250    	 8.485195398
06/04/2009  	14.969492   	22.44591    	18.44093    	 8.600234290
07/04/2009  	14.450367   	22.05402    	18.33299    	 9.077384631
08/04/2009  	13.405677   	23.87020    	18.88195    	 8.828579148
09/04/2009  	14.492303   	23.30598    	20.05757    	 8.622390111
10/04/2009  	12.898127   	21.25594    	18.66506    	 9.420207898
11/04/2009  	14.787924   	21.68693    	19.85339    	 9.795702040
12/04/2009  	17.455084   	22.16315    	20.68975    	10.103320102
13/04/2009  	16.926701   	22.05495    	20.57744    	10.257859806
14/04/2009  	15.232958   	21.46829    	19.69920    	10.556392451
15/04/2009  	13.689749   	21.27543    	19.14443    	10.967023472
16/04/2009  	13.718275   	21.16314    	18.38873    	11.511700233
17/04/2009  	14.560669   	23.05752    	20.51241    	10.977680564
18/04/2009  	15.645837   	22.96819    	21.47425    	10.529068450
19/04/2009  	12.204517   	21.92788    	20.51280    	10.866217832
20/04/2009  	12.989508   	23.21117    	19.49232    	11.685035825
21/04/2009  	14.482088   	23.29762    	19.74253    	12.124471982
22/04/2009  	16.475069   	22.22970    	20.38470    	11.936879675
23/04/2009  	16.077684   	22.20505    	20.25989    	12.093553801
24/04/2009  	15.161645   	21.40532    	19.49167    	12.465107997
25/04/2009  	14.837988   	22.70850    	19.68956    	12.444045881
26/04/2009  	16.373669   	22.79218    	20.88520    	12.822958847
27/04/2009  	16.342644   	22.85860    	20.71176    	12.744678537
28/04/2009  	16.535864   	23.08139    	21.14116    	12.438729902
29/04/2009  	15.769584   	23.35762    	20.99721    	12.442913771
30/04/2009  	14.682402   	22.79938    	20.36677    	12.747318566
01/05/2009  	14.127669   	22.52514    	20.09141    	13.408728798
02/05/2009  	14.239591   	23.18086    	20.36130    	13.573096434
03/05/2009  	13.837988   	22.48951    	19.24989    	13.272450646
